rho,count
0.41000000000000003,1
0.43000000000000005,0
0.45000000000000007,3
0.4700000000000001,2
0.4900000000000001,1
0.5100000000000001,1
0.5300000000000001,2
0.5500000000000002,8
0.5700000000000002,2
0.5900000000000002,3
0.6100000000000002,3
0.6300000000000002,3
0.6500000000000002,8
0.6700000000000003,10
0.6900000000000003,22
0.7100000000000003,14
0.7300000000000003,29
0.7500000000000003,55
0.7700000000000004,55
0.7900000000000004,100
0.8100000000000004,181
0.8300000000000004,251
0.8500000000000004,389
0.8700000000000004,586
0.8900000000000005,869
0.9100000000000005,1273
0.9300000000000005,2019
