material_id,natoms,formula,min_pair_dist,guess_oxi_ok,frac_oxi_ok,featurisable,featurisable_with_frac,bl_min,bl_mean,cn_an_mean,madz_range,mad_max,frac_like_bonds,fi,wyckoff_econ,bv_rel_mean,L1,D1_804,L1',L2,L3,L4,next23_transport_reject,next23_risk_score,pauling_feature_error,pauling_p2_p5_decision
ssagen-t500-s20260802-a0000,11,Se3(SO)4,1.5966931847464148,False,False,False,False,,,,,,,,,,,,,,,,True,8.173727497222433,integer and fractional oxidation-state inference failed,ABSTAIN
ssagen-t500-s20260802-a0001,13,Se4S4O5,1.324058545355795,False,False,False,False,,,,,,,,,,,,,,,,True,10.425243707486402,integer and fractional oxidation-state inference failed,ABSTAIN
ssagen-t500-s20260802-a0002,11,Sn3(SO)4,1.4192717411554743,False,True,False,True,0.8070095406822022,1.0750537117926993,2.25,19.280367878447453,-2.987712994635009,0.42857142857142855,0.35525877871394995,1.0,,True,True,True,True,True,False,True,6.767164402719153,,REJECT
ssagen-t500-s20260802-a0003,12,SeSO,1.3702895448908425,True,True,True,True,0.5855938226029241,0.9752741213454943,2.25,25.322396640327458,7.953976971112944,0.5217391304347826,0.17420296004989932,1.0,0.9535332565222481,False,False,False,False,False,False,True,6.566957001582303,,REJECT
ssagen-t500-s20260802-a0004,13,K4Se4O5,1.5471274589462427,False,True,False,True,0.5440109768871456,0.9097990713144035,1.5555555555555556,25.729562984893192,10.082660092646208,0.42857142857142855,0.5369898255114057,1.0,,False,False,False,False,False,False,True,8.568742874985903,,REJECT
ssagen-t500-s20260802-a0005,12,Sr3S4O5,1.2870930863152423,False,True,False,True,0.943620640098274,1.0290814887733235,1.8888888888888888,33.19324775136559,27.95988103587888,0.5925925925925926,0.4551725960576467,1.0,,True,True,True,False,False,False,True,9.183272400408692,,REJECT
ssagen-t500-s20260802-a0006,13,K4Se4O5,1.2884499036856936,False,True,False,True,0.520535566203121,0.7670688923741863,2.4444444444444446,22.000877062770606,15.618620418610929,0.5294117647058824,0.5369898255114057,1.0,,False,False,False,False,False,False,True,4.815797019579631,,REJECT
ssagen-t500-s20260802-a0007,11,Cu4Sn3O4,0.8114028921574288,False,False,False,False,,,,,,,,,,,,,,,,True,6.769605187227847,integer and fractional oxidation-state inference failed,ABSTAIN
ssagen-t500-s20260802-a0008,14,Se4(SO)5,0.9891503942756567,False,False,False,False,,,,,,,,,,,,,,,,True,8.728541165125,integer and fractional oxidation-state inference failed,ABSTAIN
ssagen-t500-s20260802-a0009,11,Cu4Ag3O4,1.4765153021771065,False,True,False,True,0.8547657362569249,1.0470716064648171,1.25,12.496120392644507,3.495012735726066,0.7083333333333334,0.441801880377652,1.0,0.8094347618843443,True,True,True,True,True,False,True,8.17817304048684,,REJECT
ssagen-t500-s20260802-a0010,14,Sr4(SO)5,0.9616561243247362,False,True,False,True,0.5992873286114999,0.8072124925277548,2.1,24.91340112110128,12.652948135668257,0.4883720930232558,0.6898576830761677,1.0,,False,False,False,False,False,False,True,5.127792905152514,,REJECT
ssagen-t500-s20260802-a0011,8,CuO,1.7599099396796147,True,True,True,True,0.8262487979716501,1.132499579208829,2.25,6.686430736706226,-9.43691983297607,0.25,0.4472779356966061,1.0,0.8114881927098633,True,True,True,False,False,False,True,7.914215940853562,,REJECT
ssagen-t500-s20260802-a0012,6,CuO,1.5512087516353794,True,True,True,True,1.0762242012350631,1.0762242012350631,0.3333333333333333,5.5616169364758115,1.6707249714885553,0.5,0.4472779356966061,1.0,,True,True,True,True,True,False,True,10.067735841350828,,REJECT
ssagen-t500-s20260802-a0013,11,K4Sn3O4,1.2680637128182568,False,True,False,True,0.6930353927763231,0.8741616800586627,2.0,15.661943739230919,1.1388947393553468,0.7096774193548387,0.6788178716701414,1.0,0.8227016911428695,False,False,False,False,False,False,True,8.252310037967364,,REJECT
ssagen-t500-s20260802-a0014,11,Sn3(SO)4,1.5952985877132135,False,True,False,True,0.8874241582281606,1.029880439960815,1.625,12.706380833011657,-8.704064412214763,0.5454545454545454,0.35525877871394995,1.0,,True,True,True,True,True,False,True,6.137115172863634,,REJECT
ssagen-t500-s20260802-a0015,13,Se4S4O5,1.0752445038104974,False,False,False,False,,,,,,,,,,,,,,,,True,10.180089825333877,integer and fractional oxidation-state inference failed,ABSTAIN
ssagen-t500-s20260802-a0016,12,KCuO,1.2700310540976758,True,True,True,True,0.8281948729559796,1.0091590036748035,1.75,10.697990107511734,2.9366823668028665,0.6086956521739131,0.6609473927455578,1.0,0.8357560994666908,True,True,True,True,False,False,True,9.205219413815218,,REJECT
ssagen-t500-s20260802-a0017,13,Sr4O9,1.4643012820018035,False,True,False,True,0.5761037756243489,0.8358968389410568,1.6666666666666667,23.732886953850773,4.45344898966937,0.20833333333333334,0.7877573323062756,1.0,,False,False,False,False,False,False,True,8.697124947408769,,REJECT
ssagen-t500-s20260802-a0018,11,Cu7O4,1.0875747760906374,False,True,False,True,0.5011865327606623,0.9542383390951791,1.5,12.458420148747225,-2.5270477528506707,0.5,0.44727793569660623,1.0,0.9884522803731205,False,False,False,False,False,False,True,7.904279086742398,,REJECT
ssagen-t500-s20260802-a0019,11,Sr3(CuO)4,1.2530320445735719,False,True,False,True,0.6842335366410637,0.9697733929424672,1.75,19.24473355964784,17.58863154240069,0.7083333333333334,0.7187296753071613,1.0,0.8721774037610637,False,False,False,False,False,False,True,7.431325148533744,,REJECT
ssagen-t500-s20260802-a0020,13,Sr4S4O5,1.0932539624728144,False,True,False,True,0.6118257473807286,0.8612146472632515,1.8888888888888888,24.32071994990926,8.920109062001277,0.25,0.5041125285137085,1.0,,False,False,False,False,False,False,True,6.801469458104709,,REJECT
ssagen-t500-s20260802-a0021,16,SeO3,0.9766738612024455,True,True,True,True,0.6708814320977492,1.2774672690662527,2.0833333333333335,38.72042335990538,13.959250065042484,0.6285714285714286,0.17965065585213402,1.0,0.9289156894908386,False,False,False,False,False,False,True,5.396589232108639,,REJECT
